TreeID,1.0,2.0,3.0,4.0
0040-00002-1,51.6,47.8,51.562,53.594
0040-00002-12,63.0,66.2,67.818,68.58
0040-00002-14,65.5,68.4,73.152,75.184
0040-00002-16,23.9,24.2,24.892,23.622
0040-00002-18,59.4,62.8,65.024,67.056
0040-00002-19,35.3,36.9,38.1,38.608
0040-00002-20,36.8,37.3,39.116,39.878
0040-00002-3,51.1,52.2,56.134,58.42
0040-00002-4,41.4,44.1,46.736,
0040-00002-5,28.7,29.0,29.464,29.718
0040-00002-8,42.9,44.2,45.974,
0040-00002-9,42.2,44.6,49.276,51.308
0040-00003-1,21.3,22.2,22.86,23.368
0040-00003-101,59.4,63.8,,
0040-00003-17,15.0,16.7,18.288,19.304
0040-00003-18,16.5,17.8,19.05,
0040-00003-2,75.4,81.8,91.694,92.71
0040-00003-22,16.7,18.542,,
0040-00003-25,17.0,19.812,,
0040-00003-3,28.2,28.5,28.702,28.956
0040-00003-4,19.6,20.8,22.098,22.098
0040-00003-6,61.7,64.5,68.58,68.326
0040-00003-7,65.3,69.6,75.184,75.692
0040-00003-8,83.6,87.9,92.71,94.742
0040-00003-9,49.3,53.9,60.452,62.23
0040-00005-11,33.8,35.3,37.338,38.1
0040-00005-12,40.6,43.4,46.482,48.006
0040-00005-13,19.8,20.1,,
0040-00005-14,24.6,24.4,24.13,24.13
0040-00005-15,41.9,41.3,,
0040-00005-16,41.7,44.8,47.752,49.53
0040-00005-17,70.1,74.7,80.01,81.534
0040-00005-19,22.4,22.6,22.86,
0040-00005-2,41.1,41.7,40.894,40.894
0040-00005-21,18.3,18.8,19.304,19.812
0040-00005-23,15.5,15.1,15.494,15.748
0040-00005-24,36.6,37.2,37.338,37.338
0040-00005-25,52.3,53.4,55.626,55.626
0040-00005-3,48.5,53.8,58.928,61.468
0040-00005-30,55.6,57.8,59.944,60.706
0040-00005-31,35.1,38.1,41.148,42.672
0040-00005-32,20.6,21.7,22.098,22.098
0040-00005-5,82.6,85.9,90.932,91.44
0040-00005-6,18.5,19.2,19.812,20.32
0040-00005-7,18.8,19.2,19.05,
0040-00005-9,22.6,23.3,24.892,25.654
0040-00007-1,34.3,36.7,36.576,
0040-00007-10,27.4,29.9,32.766,33.528
0040-00007-11,34.5,38.7,42.672,44.196
0040-00007-12,44.7,47.4,50.038,51.054
0040-00007-13,20.3,24.0,27.178,28.194
0040-00007-14,17.8,18.7,19.812,
0040-00007-15,18.8,20.8,20.574,23.876
0040-00007-17,22.1,24.0,26.67,27.432
0040-00007-19,19.1,20.2,21.336,21.844
0040-00007-2,49.5,51.2,53.086,53.34
0040-00007-20,17.3,15.3,15.748,16.764
0040-00007-22,22.4,24.4,25.908,26.67
0040-00007-3,77.7,79.7,82.296,83.566
0040-00007-37,15.3,16.51,17.018,
0040-00007-4,20.8,20.8,20.574,
0040-00007-40,15.5,19.0,20.828,21.59
0040-00007-5,31.0,31.5,32.258,32.258
0040-00007-6,25.4,25.8,26.162,25.654
0040-00007-7,32.8,33.4,34.29,34.29
0040-00007-8,21.3,21.7,21.844,21.336
0040-00007-9,26.4,26.4,26.67,26.416
0040-00012-1,61.7,62.9,63.5,
0040-00012-10,25.1,25.9,26.416,26.416
0040-00012-11,39.4,40.3,41.402,41.402
0040-00012-13,16.8,17.0,17.272,17.272
0040-00012-14,19.8,20.2,20.574,20.574
0040-00012-15,22.1,22.6,23.368,23.368
0040-00012-16,24.1,23.9,25.654,25.654
0040-00012-18,28.2,29.8,32.004,32.004
0040-00012-20,28.2,28.4,,
0040-00012-22,24.1,24.8,24.892,25.4
0040-00012-23,17.8,18.0,19.05,19.304
0040-00012-24,22.9,23.5,24.638,25.146
0040-00012-26,15.7,17.2,17.526,17.526
0040-00012-27,20.8,20.1,,
0040-00012-28,17.5,18.4,18.542,18.542
0040-00012-3,27.2,30.0,33.02,34.544
0040-00012-30,18.3,19.2,20.828,21.336
0040-00012-32,15.5,16.8,17.78,18.288
0040-00012-4,59.9,61.9,63.246,62.992
0040-00012-43,25.908,26.416,,
0040-00012-5,32.0,33.7,35.56,36.322
0040-00012-6,45.5,48.2,50.546,51.308
0040-00012-7,62.0,61.0,62.23,62.23
0040-00012-8,44.5,48.3,52.07,53.086
0040-00012-9,46.2,52.2,59.436,64.516
0040-00101-1,18.8,19.0,19.558,20.066
0040-00101-10,15.5,16.0,16.256,
0040-00101-11,15.5,16.256,,
0040-00101-13,20.6,22.0,24.384,24.638
0040-00101-14,16.0,16.7,17.272,
0040-00101-15,23.9,23.3,28.194,28.194
0040-00101-17,17.3,19.3,21.336,21.336
0040-00101-18,44.5,45.8,47.752,48.768
0040-00101-19,21.1,22.2,23.368,24.384
0040-00101-2,31.5,32.6,34.036,34.036
0040-00101-20,15.8,17.272,,
0040-00101-23,34.6,38.354,39.878,
0040-00101-25,23.3,24.638,24.892,
0040-00101-3,63.5,64.2,66.548,66.548
0040-00101-4,48.3,49.7,52.832,54.61
0040-00101-5,29.0,34.3,30.226,30.48
0040-00101-6,47.5,48.26,50.292,
0040-00101-7,87.9,89.1,90.932,91.948
0040-00101-9,55.4,57.1,60.706,60.198
0040-00103-1,56.6,60.452,59.69,
0040-00103-10,40.6,43.1,46.482,48.26
0040-00103-11,15.0,16.1,17.018,17.272
0040-00103-12,18.5,19.2,22.098,22.098
0040-00103-13,33.5,36.1,39.37,40.64
0040-00103-14,22.4,25.6603076923077,29.464,29.464
0040-00103-15,19.4875789473684,20.0503157894737,20.5192631578947,21.082
0040-00103-18,21.1,22.8,24.638,25.908
0040-00103-2,95.3,101.1,105.41,105.664
0040-00103-20,68.6,71.6,74.168,76.2
0040-00103-21,30.7,31.4,31.242,31.242
0040-00103-22,76.7,79.7,84.582,85.852
0040-00103-24,15.2,16.256,18.034,
0040-00103-25,32.3,34.4,36.322,37.592
0040-00103-3,30.7,33.4,35.052,35.56
0040-00103-4,85.3,88.8,92.964,94.234
0040-00103-6,15.7,22.606,23.622,
0040-00103-9,18.8,20.9,16.256,16.764
0040-00104-1,20.8,20.8,20.828,21.59
0040-00104-10,28.7,29.7,30.734,30.734
0040-00104-11,67.1,70.5,75.438,76.454
0040-00104-13,52.1,51.9,51.562,52.07
0040-00104-14,29.7,24.4,25.654,25.654
0040-00104-18,35.3,37.6,40.64,39.878
0040-00104-19,50.3,55.9,62.23,65.532
0040-00104-2,20.9,21.6,22.098,22.352
0040-00104-20,35.8,39.1,42.672,41.656
0040-00104-21,20.3,20.9,20.828,20.828
0040-00104-22,27.7,28.1,28.956,28.448
0040-00104-23,15.7,16.3,17.272,17.272
0040-00104-25,29.2,24.5,,
0040-00104-5,99.8,104.9,109.22,114.046
0040-00104-7,36.6,38.9,40.386,41.91
0040-00104-8,47.2,51.816,52.324,
0040-00104-9,71.6,75.5,80.01,81.788
0040-00105-1,94.0,101.9,113.538,116.332
0040-00105-10,18.8,21.0,24.384,25.4
0040-00105-11,64.8,66.2,70.104,70.104
0040-00105-12,22.6,23.0,22.86,
0040-00105-13,42.9,45.8,46.228,46.228
0040-00105-14,35.1,36.4,38.1,37.592
0040-00105-15,47.2,48.7,49.784,
0040-00105-16,51.3,59.1,63.246,63.5
0040-00105-18,80.5,84.4,89.916,91.694
0040-00105-19,36.6,41.148,41.402,
0040-00105-2,48.3,51.1,54.61,53.594
0040-00105-20,34.0,35.3,38.1,38.862
0040-00105-22,70.1,69.7,,
0040-00105-26,54.4,57.7,60.198,61.214
0040-00105-27,15.24,17.272,,
0040-00105-3,26.7,27.2,27.94,28.194
0040-00105-4,27.2,28.0,28.956,28.956
0040-00105-5,32.5,35.7,37.338,37.846
0040-00105-6,41.4,43.1,44.958,45.212
0040-00105-7,16.0,15.9,,
0040-00105-8,73.4,76.3,80.772,82.804
0040-00105-9,59.2,61.3,63.5,
0040-00106-1,21.6,24.5,27.178,27.94
0040-00106-10,53.8,59.4,64.516,66.802
0040-00106-11,26.2,27.94,,
0040-00106-12,18.5,21.0,23.368,
0040-00106-13,15.0,15.7,16.256,16.256
0040-00106-14,47.0,49.0,49.53,
0040-00106-15,15.7,16.7,17.78,18.542
0040-00106-16,20.6,21.7,22.352,22.86
0040-00106-18,29.2,30.8,32.258,33.528
0040-00106-19,32.8,35.5,38.354,39.878
0040-00106-2,19.1,19.5,20.32,20.32
0040-00106-20,82.3,87.6,91.694,93.726
0040-00106-21,15.5,17.272,18.034,
0040-00106-3,54.4,60.1,66.294,68.072
0040-00106-5,32.0,36.1,40.386,41.402
0040-00106-7,15.7,18.2,20.066,21.082
0040-00106-8,32.8,37.3,41.148,42.926
0040-00106-9,59.7,65.3,70.866,72.644
0040-00107-1,18.0,16.7,,
0040-00107-10,22.6,25.3,27.686,27.94
0040-00107-11,22.6,24.3,26.162,27.686
0040-00107-12,56.6,61.3,66.294,66.294
0040-00107-15,19.1,20.4,,
0040-00107-16,33.5,38.4,41.402,42.164
0040-00107-17,31.5,32.2,34.29,34.29
0040-00107-18,56.1,60.6,66.802,69.088
0040-00107-2,16.3,17.7,,
0040-00107-21,45.7,50.3,53.848,55.88
0040-00107-22,49.3,53.5,58.166,
0040-00107-23,16.0,17.0,18.034,18.542
0040-00107-25,22.9,26.1,28.194,30.734
0040-00107-26,30.5,33.5,36.322,36.068
0040-00107-27,36.3,40.5,44.958,
0040-00107-28,31.0,30.7,30.48,
0040-00107-29,25.1,26.2,,
0040-00107-30,28.2,29.7,32.766,33.274
0040-00107-5,54.1,58.4,62.992,64.77
0040-00107-8,16.3,17.0,,
0040-00107-9,22.9,23.6,23.876,
0040-00108-10,15.8,16.51,16.51,
0040-00108-11,15.7,17.1,18.288,18.542
0040-00108-12,58.2,62.4,66.548,68.326
0040-00108-13,47.0,49.7,54.102,54.864
0040-00108-14,50.3,52.8,56.896,56.896
0040-00108-3,25.9,30.6,34.29,36.576
0040-00108-4,15.748,15.748,,
0040-00108-6,15.24,16.002,,
0040-00108-7,15.9,17.272,17.78,
0040-00108-8,16.1,17.272,,
0040-00108-9,16.0,17.018,17.018,
0040-00109-1,16.3,16.5,17.018,16.764
0040-00109-10,43.4,45.3,46.482,46.736
0040-00109-11,33.3,34.6947692307692,36.322,36.322
0040-00109-12,32.0,32.9,34.036,34.29
0040-00109-13,26.2,26.6,26.924,27.686
0040-00109-17,28.4,29.5,29.718,29.718
0040-00109-18,77.5,86.9,91.948,93.726
0040-00109-19,27.7,28.4,,
0040-00109-2,15.5,15.4,15.748,
0040-00109-4,21.6,21.5,21.336,21.336
0040-00109-5,17.0,17.8,18.288,18.796
0040-00109-6,79.5,84.2,88.9,89.408
0040-00109-7,102.1,105.3,109.474,111.252
0040-00109-8,79.0,85.1,89.154,90.932
0040-00109-9,73.2,77.8,81.534,83.566
0040-00110-12,27.4,27.0,,
0040-00110-13,16.5,16.2,16.002,16.51
0040-00110-14,16.5,15.8,,
0040-00110-15,17.5,16.5,16.764,16.764
0040-00110-2,81.3,84.5,88.138,90.678
0040-00110-20,22.9,22.6,22.606,22.86
0040-00110-21,29.2,29.6,30.48,29.972
0040-00110-22,15.7,16.3,16.256,
0040-00110-24,17.0,17.6,17.272,17.526
0040-00110-26,83.6,91.1,96.012,99.314
0040-00110-27,61.0,67.7,70.612,71.882
0040-00110-28,91.2,95.2,99.314,101.854
0040-00110-29,19.8,18.7,19.812,
0040-00110-3,63.0,66.1,69.85,71.374
0040-00110-30,19.8,19.5,19.558,19.304
0040-00110-31,22.4,22.5,23.114,23.114
0040-00110-32,22.1,23.1,23.368,23.368
0040-00110-34,16.8,18.1,20.828,18.034
0040-00110-36,17.5,18.1,17.78,18.288
0040-00110-37,15.4,15.494,15.494,
0040-00110-42,133.6,139.6,143.51,146.05
0040-00110-43,16.5,17.4,17.78,17.78
0040-00110-5,31.2,32.1,38.862,
0040-00110-6,25.7,26.1,26.416,
0040-00110-8,23.1,23.2,22.86,
0040-00110-9,20.1,19.9,19.812,20.32
0040-00111-1,75.4,81.1,84.836,86.36
0040-00111-10,61.5,64.6,70.612,72.136
0040-00111-11,19.3,20.4,21.336,21.844
0040-00111-12,16.3,16.1,16.256,16.256
0040-00111-14,17.8,18.0,18.542,18.542
0040-00111-17,17.5,17.3,17.78,17.78
0040-00111-2,56.1,56.3,56.388,55.88
0040-00111-21,20.1,20.0,20.574,20.828
0040-00111-3,30.5,32.2,36.068,37.084
0040-00111-4,44.7,44.5,44.958,44.45
0040-00111-5,83.3,84.6,89.408,88.138
0040-00111-7,32.0,32.2,32.766,32.512
0040-00111-8,48.0,49.1,51.308,50.038
0040-00111-9,56.9,59.4,62.23,63.246
0040-00112-1,15.0,15.3,15.24,
0040-00112-10,18.0,19.1,19.812,20.32
0040-00112-11,49.5,56.3,,
0040-00112-12,35.8,36.4,36.322,36.322
0040-00112-3,60.2,67.4,75.438,77.216
0040-00112-4,65.3,67.7,71.12,72.39
0040-00112-5,53.1,57.5,59.69,60.706
0040-00112-7,76.7,80.9,83.566,84.328
0040-00112-8,31.2,35.3,37.846,38.354
0040-00113-1,19.3,19.2,18.542,
0040-00113-10,58.4,64.1,69.85,71.628
0040-00113-12,69.3,71.8,74.422,75.692
0040-00113-13,53.8,57.2,60.452,62.23
0040-00113-14,52.8,56.7,62.484,64.77
0040-00113-15,29.2,29.1,29.21,29.21
0040-00113-16,46.0,47.9,52.578,52.578
0040-00113-17,30.0,31.1,31.496,32.258
0040-00113-18,23.4,23.6,,
0040-00113-19,61.2,62.6,59.69,
0040-00113-2,72.9,76.8,81.28,84.074
0040-00113-20,51.6,54.7,59.436,60.452
0040-00113-3,18.5,19.1,,
0040-00113-4,43.2,45.0,47.752,48.768
0040-00113-5,86.9,88.5,90.424,90.424
0040-00113-6,30.2,32.1,33.782,34.544
0040-00113-7,39.9,41.0,42.164,41.91
0040-00113-8,46.5,46.6,46.99,46.482
0040-00114-10,39.4,41.0,42.672,42.672
0040-00114-11,54.9,58.4,62.992,65.278
0040-00114-12,66.0,69.4,72.644,74.422
0040-00114-15,33.5,37.4,38.608,38.608
0040-00114-17,78.9,82.296,83.566,
0040-00114-2,15.2,19.2,21.844,24.13
0040-00114-3,46.0,50.6,54.864,56.896
0040-00114-4,24.4,26.0,28.702,28.448
0040-00114-5,32.0,34.6,36.83,38.1
0040-00114-6,29.5,31.4,33.782,
0040-00114-7,21.6,21.4,22.606,22.098
0040-00114-8,15.1,17.272,17.78,
0040-00115-1,15.2,17.9,19.812,20.828
0040-00115-10,25.1,26.5,26.924,27.178
0040-00115-11,45.7,49.1,52.07,48.768
0040-00115-12,46.5,54.0,55.372,54.864
0040-00115-13,19.3,21.9,23.368,24.638
0040-00115-15,30.0,33.0,34.29,31.75
0040-00115-16,24.1,24.3,24.384,
0040-00115-17,24.4,26.9,26.162,25.908
0040-00115-18,31.8,32.8,34.036,33.02
0040-00115-19,28.7,29.9,30.734,29.21
0040-00115-2,30.2,31.1,31.496,31.496
0040-00115-20,63.5,67.6,69.342,69.596
0040-00115-3,29.5,30.4,31.496,31.496
0040-00115-4,15.5,16.2,16.51,16.51
0040-00115-5,15.7,16.3,16.51,16.002
0040-00115-6,62.7,68.4,73.914,76.962
0040-00115-7,29.2,33.8,38.862,39.878
0040-00115-8,31.8,34.4,37.084,37.338
0040-00115-9,61.5,64.8,67.31,
0040-00116-1,17.3,19.2,21.336,21.844
0040-00116-10,55.9,57.8,61.722,63.246
0040-00116-11,20.3,21.2,21.844,22.86
0040-00116-12,38.4,40.3,41.402,41.656
0040-00116-13,31.8,33.7,34.036,33.02
0040-00116-14,31.5,35.1,36.83,37.084
0040-00116-15,37.3,39.3,42.418,43.18
0040-00116-16,29.2,31.6,33.02,
0040-00116-19,50.0,53.0,55.626,58.166
0040-00116-2,39.4,41.5,44.45,44.958
0040-00116-20,34.5,38.6,41.91,44.45
0040-00116-21,32.8,33.6,35.306,35.052
0040-00116-23,37.6,38.2,39.37,39.37
0040-00116-24,39.1,39.7,40.386,41.402
0040-00116-26,37.8,37.6,38.862,39.116
0040-00116-27,32.3,32.2,33.528,32.512
0040-00116-28,27.4,31.2,35.306,37.592
0040-00116-8,23.6,24.3,25.4,
0040-00116-9,49.0,46.9,47.244,47.752
0060-00021-1,48.0,51.1,54.102,55.626
0060-00021-11,80.8,83.5,85.344,85.598
0060-00021-13,25.4,28.5,27.94,
0060-00021-14,43.9,46.3,45.72,46.228
0060-00021-19,21.3,22.5,,
0060-00021-2,44.5,47.8,52.07,53.848
0060-00021-35,16.3,17.1,,
0060-00021-4,44.2,42.6,,
0060-00021-6,34.0,32.9,,
0060-00021-9,71.9,76.7,83.058,85.852
0060-00027-11,29.5,28.7,,
0060-00027-13,55.6,59.9,64.262,66.548
0060-00027-14,49.8,53.3,59.436,61.214
0060-00027-15,52.3,55.2,60.198,61.468
0060-00027-18,17.8,19.6,21.844,22.86
0060-00027-4,43.2,45.8,49.53,52.07
0060-00027-5,52.1,55.0,58.166,60.198
0060-00101-1,15.5,15.4,15.24,15.24
0060-00101-10,35.3,37.3,38.862,39.878
0060-00101-12,40.1,42.3,44.45,45.72
0060-00101-13,35.1,37.5,40.386,41.91
0060-00101-14,18.5,21.2,23.368,24.384
0060-00101-15,21.6,22.6,23.876,24.892
0060-00101-16,17.0,18.6,21.336,22.352
0060-00101-17,17.3,18.9,21.082,21.844
0060-00101-18,23.4,26.3,31.242,31.75
0060-00101-19,18.5,19.0,19.304,21.844
0060-00101-2,56.4,58.6,60.96,62.484
0060-00101-20,41.9,43.6,45.466,46.482
0060-00101-21,42.2,45.0,48.006,49.53
0060-00101-22,16.5,18.9,21.59,22.606
0060-00101-23,15.7,16.1,16.51,
0060-00101-24,28.7,31.5,33.274,34.544
0060-00101-25,15.24,16.51,,
0060-00101-27,34.3,36.3,37.592,38.608
0060-00101-3,18.5,22.0,26.416,27.432
0060-00101-4,25.7,26.0,26.67,27.178
0060-00101-5,19.8,22.4,25.146,27.432
0060-00101-6,25.4,26.4,27.178,27.94
0060-00101-7,21.1,21.2,21.336,21.59
0060-00101-8,23.1,23.5,23.622,23.876
0060-00101-9,53.6,56.8,60.96,61.976
0060-00102-12,49.5,47.2,,
0060-00102-13,40.6,42.3,45.974,47.244
0060-00102-14,42.2,43.2,43.942,44.958
0060-00102-16,35.3,38.2,41.91,43.688
0060-00102-17,26.9,28.7,,
0060-00102-18,39.1,43.3,48.006,50.038
0060-00102-19,28.7,32.7,35.56,37.338
0060-00102-20,37.8,41.6,48.26,48.006
0060-00102-22,45.2,49.1,52.07,53.594
0060-00102-5,17.3,20.5,,
0060-00102-6,87.1,94.6,106.68,107.696
0060-00102-9,79.5,74.4,,
0060-00103-1,32.5,35.9,39.624,41.91
0060-00103-10,65.3,69.1,73.914,75.692
0060-00103-12,68.3,79.2,78.232,79.756
0060-00103-15,26.7,29.0,34.036,35.814
0060-00103-16,52.8,53.8,57.404,58.928
0060-00103-4,48.8,51.5,55.372,56.642
0060-00103-5,28.4,31.0,33.782,35.56
0060-00103-7,55.4,55.0,,
0060-00103-8,21.3,21.0,21.59,21.59
0060-00103-9,40.9,44.0,48.768,49.784
0060-00104-1,22.6,24.1,28.194,28.448
0060-00104-10,47.5,53.1,59.182,60.96
0060-00104-11,36.1,39.9,44.45,44.196
0060-00104-12,21.1,24.2,27.178,27.94
0060-00104-15,15.494,17.78,,
0060-00104-2,58.2,66.5,71.374,73.406
0060-00104-3,51.1,52.4,55.626,56.896
0060-00104-5,63.0,69.1,75.184,76.962
0060-00104-7,39.4,43.0,47.498,49.022
0060-00104-8,18.8,19.1,,
0060-00105-1,19.8,21.0,22.098,22.352
0060-00105-10,26.7,28.2,28.448,29.21
0060-00105-13,18.0,18.6,,
0060-00105-14,16.5,17.1,,
0060-00105-16,65.8,73.4,75.946,78.994
0060-00105-17,46.0,49.4,53.086,54.102
0060-00105-18,40.6,43.2,46.99,49.022
0060-00105-2,26.7,28.2,30.988,31.496
0060-00105-3,29.0,30.7,,
0060-00105-4,31.8,35.7,39.878,
0060-00105-5,26.9,28.1,30.226,32.004
0060-00105-6,23.9,24.3,24.384,24.892
0060-00105-7,49.8,55.1,59.69,61.976
0060-00105-8,71.1,75.3,76.962,78.74
0060-00105-9,43.7,46.1,49.022,50.8
0060-00106-1,24.1,27.4,29.464,30.48
0060-00106-10,45.7,48.8,52.324,53.848
0060-00106-11,47.5,52.0,57.912,60.706
0060-00106-12,43.9,48.8,51.562,55.118
0060-00106-13,50.3,53.9,54.61,
0060-00106-15,52.3,54.1,57.658,58.42
0060-00106-17,59.9,63.5,68.072,69.85
0060-00106-19,22.9,25.6,25.908,
0060-00106-2,34.5,33.2,,
0060-00106-20,26.9,31.1,33.02,34.544
0060-00106-3,48.5,54.1,63.246,66.548
0060-00106-4,16.8,17.1,17.526,17.018
0060-00106-5,39.6,37.9,,
0060-00106-6,21.6,24.7,24.638,
0060-00106-7,23.9,25.7,27.94,27.94
0060-00106-8,47.2,50.7,55.626,57.15
0060-00106-9,17.0,17.4,17.526,17.272
0060-00107-10,27.7,38.0,36.83,40.386
0060-00107-11,35.1,31.6,42.926,44.958
0060-00107-3,37.6,40.9,44.704,47.498
0060-00107-4,19.3,20.7,22.098,22.606
0060-00107-5,17.5,18.2,18.542,
0060-00107-6,29.0,31.5,34.544,
0060-00107-7,20.1,20.7,22.098,22.86
0060-00107-8,75.2,79.4,82.55,84.582
0060-00107-9,21.1,23.9,,
0060-00108-10,39.9,41.9,41.91,
0060-00108-13,65.0,68.4,,
0060-00108-4,32.3,36.0,35.814,
0060-00108-8,38.9,39.8,42.672,43.18
0060-00109-1,32.0,33.3,33.274,33.274
0060-00109-10,71.6,76.6,82.296,84.074
0060-00109-12,45.0,45.0,,
0060-00109-13,23.6,24.8,,
0060-00109-14,48.5,53.1,57.404,59.69
0060-00109-16,65.3,70.1,75.946,77.978
0060-00109-17,79.0,82.6,87.122,89.662
0060-00109-5,64.3,66.6,70.104,70.612
0060-00109-6,50.8,52.9,55.118,56.134
0060-00109-9,36.3,39.2,42.672,43.18
0060-00111-10,73.2,76.5,80.518,81.788
0060-00111-12,42.9,44.3,46.736,48.26
0060-00111-13,43.4,42.0,44.45,45.974
0060-00111-2,36.1,37.3,36.576,
0060-00111-4,65.8,72.0,80.01,83.82
0060-00111-5,46.0,48.2,51.562,54.864
0060-00111-6,33.8,35.9,37.592,38.862
0060-00111-7,42.7,46.2,51.054,53.34
0060-00111-9,45.0,45.1,,
0060-00112-1,51.8,57.1,61.976,62.23
0060-00112-2,25.4,24.7,,
0060-00112-3,58.2,60.9,63.754,65.532
0060-00112-4,69.9,72.2,75.184,75.946
0060-00112-5,25.1,25.7,26.416,26.67
0060-00112-6,53.8,56.3,60.96,62.484
0060-00112-7,42.7,44.9,47.752,49.276
0060-00112-8,23.6,24.3,24.638,24.638
0060-00112-9,42.7,44.8,49.022,50.292
0060-00113-1,52.1,53.3,,
0060-00113-2,52.6,56.4,62.738,62.992
0060-00113-3,78.0,82.1,89.662,92.71
0060-00113-4,56.4,66.4,74.168,76.962
0060-00113-5,62.7,67.3,72.644,74.168
0060-00114-10,61.7,64.3,68.072,69.596
0060-00114-12,62.2,65.9,70.104,72.644
